Khublei!,Thank you!
Balei?,Why?
Pynjaijai,Cool off!
Rieh!,Take cover!
Peit,Watch
Mih!,Leave!
Phet!,Scram!
Iehnoh!,Leave!
Tan!,Pull!
Pyneh!,Pull yourself together!
Adi!,Ouch!
Ada!,Ouch!
Bam!,Eat!
Ieng!,Stand up!
Shuh,Stand aside
Tam,Pick it up
Khar,Pick it up
Hooid,Yes
Haoid,Yes
Em,No
Nai,No
Map,I'm sorry
Kloi,Hurry up
Wut,Hurry up
Lait,Wrong
Kaei?,What?
Uei?,What?
Iei?,What?
Ani!,Wow!
Iap?,Dead?
Hatshi!,Achoo!
Shisha!,Really?
Kumno!,Hello!
Ei!,Hello!
Biang!,Perfect!
Sngewbha,Please
Bew!,Fuck!
Biw!,Fuck!
Bow!,Fuck!
Iarap!,Help!
Sangeh!,Stop!
Thngan?,Hungry?
Bieij,Crazy!
Eit,Shit
Bleh,Blah
Thik!,Precisely!
Bymlahlong!,That's impossible
Kamkai!,Nonsense!
Ïap!,Die!
Ho!,Goodbye!
Mo!,Goodbye!
Ei,Hi
Kadei!,Correct!
Dei!,Correct!
Kynthih,Jump
Ryngkoh,Jump
Shhhh!,Hush!
Bieij!,Idiot!
Kale!,Idiot!
Sniang!,Idiot!
Te,Duh
Sdieh,Fry
Kynmaw!,Remember!
Wan!,Come!
Mareh!,Run!
Bymlahlong,Impossible
Ihiw!,Hooray!
Kamkai,Nonsense
Phylla,Strange
Te?,So?
Rung!,Enter!
Shuh!,Scram!
Jarjar!,Quiet!
Sngapjar!,Quiet!
Pyrshang!,Try!
Sdang!,Begin!
Kren!,Speak!
Peit!,Look!
Kloi!,Quick!
Wut!,Quick!
Siat!,Fire!
Kumno,Hello
Sngap,Listen
Mano?,Who?
Jubab!,Answer!
Jaituh,Lazybones
Thoh!,Write!
Shabar!,Out!
Leit,Go
Khie,Go
Dem!,Kneel!
Nguh!,Kneel!
To,Alright
Ap,Wait
Shibun!,Very!
Aw!,Ow!
Em?,Right?
Kumjuh,Likewise
Nga!,Me!
Manga!,Me!
Hangne?,Here?
Shane?,Here?
Jied,Choose
Sngewthuh?,Understood?
Jaijai,Chill
Her!,Fly!
Iaid,Walk
Husiar!,Beware!
Bang!,Yummy!
Tynnad!,Pretty!
Rymmuiñ!,Smile!
Shri!,Smile!
Thiah!,Sleep!
Tharai,Maybe
Dei,Correct
Iakhun!,Fight!
Iashoh!,Fight!
Thied!,Buy!
Die!,Sell!
Rwai!,Sing!
Lehkai!,Play!
Tem!,Play!
Khynñiat,Push
Dwai,Pray
Hynrei balei?,But why?
Sa kaei?,What else?
Naduh mynno?,Since when?
Mynno kata?,When was that?
Ka jingkhyllah!,How weird is that?
Sngewbha jarjar,Please keep your voice down
Baleh aiu?,Why?
Ka pang,That hurts
Jied iwei,Choose one
Jied uwei,Choose one
Jied kawei,Choose one
Kwah iwei?,Want one?
Kwah uwei?,Want one?
Kwah kawei?,Want one?
Long jaijai,Be cool
Ai sha,Give tea
Wanrah sha,Bring tea
Peit ialade,Watch yourself
Da peit!,Watch out!
Leh bha!,Watch out!
Pyneh ialade!,Pull yourself together!
Masi bakhuid!,Holy cow!
Mih mynta,Leave now
Ieh shadien,Leave it behind
Kiei kito?,What are those?
Shong khop,Sit tight
Shong beit,Sit tight
Sngewbha shong,Please sit
Khublei shibun!,Thank you very much!
Ka slap,It is raining
Ngam tip,I don't know
Jisu khrist!,Jesus Christ!
Khublei Jisu,Thank you Jesus
Haoid kein,Of course
Phi kyllut?,Are you deaf?
Pha kyllut?,Are you deaf?
Me kyllut?,Are you deaf?
Sa shisien,One more time
Mano thngan?,Who's hungry?
Lah bieij?,Are you crazy?
Nyllong me!,My ass!
Nga dei,I am
Mei mariang,Mother Earth
Mei ramew,Mother Earth
Ka jingstad!,How smart!
Ka jingbieij,How foolish!
Ka jingiskuin,How cute!
Ka jingsngewtynnad!,How wonderful!
Wat khuslai,Don't worry
Bam lut,Eat everything
Bam baroh,Eat everything
Bam barohkhoit,Eat everything
Nga bam,I eat
Bam shaw,Eat noodles
Bam soh!,Eat fruits!
Bam suki,Eat slowly
Ieng joit!,Stand up!
Shuh shatai,Stand aside
Wat wit,Stand aside
Shuh nangne,Stand aside
Ieng beit!,Stand still!
Ieng khop!,Stand still!
Ka shit,It's hot
Ka khluit,It's hot
Ho oah,Yes
Hm mm,Yes
Mm huh,No
Iarap ianga,Help me
Ngam sngewthuh,I don't understand
Lah thikna?,Are you sure?
Map ianga,I'm sorry
Kloi kloi,Hurry up
Wut wut,Hurry up
Ngin rem,We'll fail
Iohsngew ianga?,Can you hear me?
Kren jem,Speak softly
Kren suki,Speak softly
Wan kloi!,Come quick!
Khublei baroh,Thanks everyone
Ka pyngngad,It's refreshing
Kham eh,Louder
Kham jam,Louder
Kham jarjar,Quieter!
Lah iap?,Dead?
Bymlah ngeit,Unbelievable!
Khatduh-khatwai!,Finally!
Shiteng khlieh,Crazy!
Ai chalk,Give me a piece of chalk
Lah dep,Done
Khreh kot!,Study!
Lah biang!,Enough!
Dep shato!,Whatever!
O te,Duh
Da kynmaw!,Remember!
Thiah suk,Goodnight!
Kloi wut!,Quick!
Dang shen,Recently
Shibun eh!,Very!
Lah pei?,Understood?
Haba kumta?,Therefore?
Balei phi mynjur?,Why did you agree?
Balei phi slem?,Why are you late?
Hangno phi don?,Where are you?
Haei phi don?,Where are you?
Lano ka bammiet?,When's dinner?
Lano sngikha jongphi?,When is your birthday?
Lano kut skul?,When is school over?
Lano kan sdang?,When does it begin?
Nga don thyllieh,I have dandruff
Shaei ka jhat?,Where is the ship?
Nga dang duhnong,I'm losing business
Ka pang kato,That hurts
Ka pynshrai bha,It's really annoying
Sngewbha try iwei,Please try one
Sngewbha try uwei,Please try one
Sngewbha try kawei,Please try one
Sngewbha pyrshang uwei,Please try one
Sngewbha pyrshang kawei,Please try one
Sngewbha pyrshang iwei,Please try one
Nga pang jingshong,My butt hurts
Tap ki khmat,Cover your eyes
Sngewbha tap ialade,Please cover yourself
Phi dih sha,You drink tea
Pha dih sha,You drink tea
Me dih sha,You drink tea
Da peit bha!,Watch out!
Tan kan plie,Pull it open
Bapli ka miaw,Poor cat
Ka miaw bapli,Poor cat
Bapli u miaw,Poor cat
U miaw bapli,Poor cat
Bapli i miaw,Poor cat
I miaw bapli,Poor cat
Shano phi don?,Where are you?
Shaei phi don?,Where are you?
Iaishah bad nga,Bear with me
Iashah bad nga,Bear with me
Ngi kren nongjapan,We speak Japanese
Tom hadien me!,Tom behind you!
Tom hadien phi!,Tom behind you!
Tom shadien me!,Tom behind you!
Tom shadien phi!,Tom behind you!
Tom nadien phi!,Tom behind you!
Tom nadien me!,Tom behind you!
Shaei ka painkhana?,Where is the toilet?
Haei ka painkhana?,Where is the toilet?
Shano ka painkhana?,Where is the toilet?
Hangno ka painkhana?,Where is the toilet?
Kito kidei kiei?,What are those?
Katno baje mynta?,What time is it now?
Ym lei lei,You're welcome
Nga ieid iaphi,I love you
Sa iapeit lashai,See you tomorrow
Em kam slap,It is not raining
Ngam don bor,I have no energy
Nga donkam iaphi,I need you
Nga donkam kane,I need this
Bha bha khublei,Very good thank you
Nga kyrteng Tom,My name is Tom
Phi kyrteng aiu?,What is your name?
Phi leh aiu?,What are you doing?
Ngam don por,I don't have time
Nga shu ongkai,I'm just joking
Khlieng ki tiar,Wash the dishes
Sait ki tiar,Wash the dishes
Khlieng ki pliang,Wash the dishes
Sait ki pliang,Wash the dishes
Thet ki kti,Wash your hands
Sait ki kti,Wash your hands
Bta ka khmat,Wash your face
Sait ka khmat,Wash your face
Khulom jongno kine?,Whose are these pens?
Namar ka sngewshitom,Because she felt sick
Biang bha khublei,Very good thank you
Phi kyllut ne?,Are you deaf?
Pha kyllut ne?,Are you deaf?
Me kyllut ne?,Are you deaf?
Sa shisien seh,One more time please
Sa shisien sngewbha,One more time please
Don sa kawei,There's one more
Don sa iwei,There's one more
Don sa uwei,There's one more
Ngan sa leh,I will do it
Phi kyrteng kumno?,What is your name?
Kumno phi kyrteng?,What is your name?
Kyrteng kumno phi?,What is your name?
Kyrteng kumno maphi?,What is your name?
Kyrteng aiu phi?,What is your name?
Kyrteng aiu maphi?,What is your name?
Phi iohthiah bha?,Did you have a good sleep?
Ngam tip balei,I didn't know why
Mano ba thngan?,Who's hungry?
Ka bha kane,This is good
Ka best kane,This is good
U kynjat iaka,He kicked it
Kan nym her,It won't fly!
In nym her,It won't fly!
Doh jingshong jongnga,Kiss my ass
Nga shu pynthikna,I was just making sure
Nga khlem tam,I didn't pick it up
Nga khlem khar,I didn't pick it up
Nga lah wan,I am coming
Nga shu kylli,I'm just asking
Kumno phi long?,How are you?
Ieid iaka pyrthei,Love the earth
Nga thngan palat!,I'm so hungry!
Nga don jingieng,I have an erection
Song ki tiar,Pack your bags
Song ki pla,Pack your bags
Lum ki pla,Pack your bags
Lum ki tiar,Pack your bags
Ka shit mynta,It's hot today
Ka shit palat,It's too hot
Ka khluit palat,It's too hot
Ka kheit syntiew,She picked flowers
Ka phut syntiew,She picked flowers
Ka tam syntiew,She picked flowers
Ka khar syntiew,She picked flowers
Nga ieid iapha,I love you
Nga ieid iame,I love you
Phi kren english?,Do you speak English?
Phi kren phareng?,Do you speak English?
Haei phi sah?,Where do you live?
Phi dei mano?,Who are you?
Phi dei iei?,Who are you?
Phi kwah aiu?,What do you want?
Aiu phi kwah?,What do you want?
Kaei phi kwah?,What do you want?
Ngin sa rem,We'll fail
Phi ong aiu?,What're you saying?
Phi kren aiu?,What're you saying?
Nga bishni iaphi,I was jealous of you
Ki iakylliang jingaikhublei,They exchanged hellos
Bud iaki khlur,Follow the stars
Sangeh Ka smieij,Stop That tickles
Sangeh pynsmieij ianga,Stop tickling me!
Wat pynsmieij ianga,Don't tickle me!
Wat ktik ianga,Don't tickle me!
Sangeh ktik ianga,Stop tickling me!
Ka eh kane,This is difficult
Kane ka eh,This is difficult
Kane ka jynjar,This is difficult
Ka jynjar kane,This is difficult
Shu khie joit,Just get up
Pule shuwa iakane,Read this first
Pule iakane shuwa,Read this first
Iakane shuwa pule,Read this first
Ngan tip kumno?,How should I know?
Ka peit ianga,She looked at me
I peit ianga,She looked at me
Nga khublei iaphi,I thank you
Wat bakla biang,Don't repeat the same mistake!
Ka khriat bha,I was so cold
Nga ioh beer,I've got beer
Ngan don hangne,I'll be right in here
Ngin iarap iaka,We're going to help her
Ki ialeh aiu?,What're they doing?
Aiu ki ialeh?,What're they doing?
Ka pynlyngngoh ianga,It took me by surprise
U donkam pisa,He is in need of money
Ka sngewieid bha,That was really sweet
Shaei u director?,Where's the director?
Shaei ka director?,Where's the director?
Shaei i director?,Where's the director?
U sngapjar shiphang,He remained silent for a while
Long ngan call?,Can I make a phone call?
U khapniah jingmut,He's closed-minded
Ki sah shapoh,They live downstairs
Ka dang khapñiah,It's still crowded
Ngam jied bam,I'm not usually picky about food
Nga bam naphang,I'm not usually picky about food
Ka shait sngewtynnad,It used to be such fun
Mat ia dep!,Whatever!
Lah leit mo!,Goodbye!
Sa leit ho!,Goodbye!
Da kumno kumno,Anyway
Man ka por,Always
Ha ka jingshisha,Honestly
Don ba wan?,Did anybody come?
Bat ia u,Grab him
Don ba iohsngew ianga?,Does anybody hear me?
Sa kaei don hangto?,What else is there?
